time,open,high,low,close,Buy Signal,Sell Signal
1701193560,354.15,354.18,353.35,354.04,0,0
1701196500,354,354.17,353.79,353.84,0,0
1701199440,353.85,354.42,353.75,354.22,0,0
1701202380,354.25,354.42,353.8,354.11,0,0
1701268200,354.95,355.5,354.75,354.85,0,0
1701271140,354.85,355.35,354.64,354.91,0,0
1701274080,354.95,354.96,354.43,354.89,0,0
1701277020,354.9,355.8,354.9,355.74,0,0
1701279960,355.74,355.96,355.55,355.61,0,0
1701282900,355.67,356.13,355.61,355.93,0,0
1701285840,355.96,355.96,355.13,355.24,0,0
1701288780,355.18,355.21,354.38,354.68,0,0
1701354600,356.68,357.69,356.46,357.62,0,0
1701357540,357.57,358.06,357.27,358.05,0,0
1701360480,358.03,358.2,357.58,357.61,0,0
1701363420,357.62,357.93,356.96,357.49,0,0
1701366360,357.51,357.65,357.04,357.5,0,0
1701369300,357.46,358.17,357.38,358.12,0,0
1701372240,358.08,358.75,358.07,358.44,0,0
1701375180,358.42,360.18,358,359.84,0,0
1701441000,360.02,361.35,359.865,360.71,0,0
1701443940,360.73,360.96,359.94,360.59,0,0
1701446880,360.56,362.18,360.56,362.01,0,0
1701449820,362.01,362.8,361.81,362.8,0,0
1701452760,362.8,363.25,362.43,362.62,0,0
1701455700,362.6,362.77,362.37,362.76,0,0
1701458640,362.76,363.02,362.46,362.8,0,0
1701461580,362.79,363.23,362.46,363.01,0,0
1701700200,361.15,362.95,361.03,361.99,0,0
1701703140,361.91,362.02,361.22,361.42,0,0
1701706080,361.4,361.83,361.26,361.63,0,0
1701709020,361.66,362.18,361.64,362.15,0,0
1701711960,362.16,362.46,362.08,362.36,0,0
1701714900,362.27,362.53,362.15,362.21,0,0
1701717840,362.21,362.57,362.17,362.42,0,0
1701720780,362.42,362.94,362.21,362.62,0,0
1701786600,361.86,361.97,360.72,360.92,0,0
1701789540,360.9,362.14,360.9,362.11,0,0
1701792480,362.12,362.12,360.95,361.09,0,0
1701795420,361.16,361.65,361.13,361.31,0,0
1701798360,361.31,362.03,361.15,361.96,0,0
1701801300,361.96,362.1,361.64,361.82,0,0
1701804240,361.81,362.07,361.55,361.99,0,0
1701807180,361.97,362.26,361.68,361.93,0,0
1701873000,362.82,363.55,362.56,363.03,0,0
1701875940,362.99,363.12,362.16,362.31,0,0
1701878880,362.37,362.53,361.79,362.04,0,0
1701881820,362.04,362.3,361.87,362.27,0,0
1701884760,362.13,362.44,361.82,362.34,0,0
1701887700,362.39,362.54,361.965,362.11,0,0
1701890640,362.08,362.21,361.73,361.75,0,0
1701893580,361.78,361.79,360.83,361.2,0,0
1701959400,361.93,362.29,361.01,361.56,0,0
1701962340,361.55,361.89,361.43,361.89,0,0
1701965280,361.75,361.75,361,361.56,0,0
1701968220,361.52,361.92,361.27,361.91,0,0
1701971160,361.92,362.24,361.85,362.14,0,0
1701974100,362.14,362.36,362.08,362.29,0,0
1701977040,362.15,362.27,361.78,361.81,0,0
1701979980,361.78,362.05,361.66,361.83,0,0
1702045800,361.76,363.32,361.37,363.12,0,0
1702048740,363.17,363.19,362.29,362.62,0,0
1702051680,362.59,362.67,361.75,362.04,0,0
1702054620,362.05,362.4,361.58,362.35,0,0
1702057560,362.4,362.93,362.38,362.85,0,0
1702060500,362.82,362.98,362.52,362.93,0,0
1702063440,362.93,363.38,362.89,363.23,0,0
1702066380,363.27,363.68,363.06,363.13,0,0
1702305000,363.46,364.05,363,363.69,0,0
1702307940,363.74,364.41,363.58,364.19,0,0
1702310880,364.29,364.31,363.89,364.09,0,0
1702313820,364.14,364.23,363.73,364.1,0,0
1702316760,364.06,364.62,363.92,364.48,0,0
1702319700,364.43,364.62,364.09,364.16,0,0
1702322640,364.13,364.335,364.08,364.2,0,0
1702325580,364.22,364.86,364.21,364.74,0,0
1702391400,365.41,365.41,364.43,365.305,0,0
1702394340,365.31,366.01,365.29,365.96,0,0
1702397280,365.99,366.25,365.65,366.08,0,0
1702400220,366.03,366.42,365.95,366.13,0,0
1702403160,366.1,366.12,365.7,365.86,0,0
1702406100,365.92,366.09,365.75,365.89,0,0
1702409040,365.92,366.6,365.88,366.48,0,0
1702411980,366.57,366.65,366.23,366.49,0,0
1702477800,366.6,366.68,366,366.39,0,0
1702480740,366.38,366.79,366.26,366.55,0,0
1702483680,366.5,366.9,366.5,366.6,0,0
1702486620,366.57,366.64,366.39,366.6,0,0
1702489560,366.56,366.74,366.48,366.55,0,0
1702492500,366.54,369,366.47,368.99,0,0
1702495440,369,371.27,368.71,370.67,0,0
1702498380,370.68,371.65,369.87,371.62,0,0
1702564200,372.71,373,371.69,372.1,0,0
1702567140,372.06,372.87,371.9,372.68,0,0
1702570080,372.66,372.98,372.25,372.8,0,0
1702573020,372.75,373.59,372.69,373.54,0,0
1702575960,373.62,373.63,372.17,372.24,0,0
1702578900,372.22,372.5,371.28,372.4,0,0
1702581840,372.44,373.01,372.32,372.82,0,0
1702584780,372.78,373.4,372.63,373.35,0,0
1702650600,371.73,372.61,371.4,371.64,0,0
1702653540,371.56,372.63,371.35,372.11,0,0
1702656480,372.11,372.84,372.09,372.51,0,0
1702659420,372.5,372.9,372.48,372.56,0,0
1702662360,372.56,372.81,372.36,372.65,0,0
