time,open,high,low,close,Buy Signal,Sell Signal
6/6/2018,275.79,277.52,275.09,277.4,0,0
6/7/2018,277.95,278.28,276.34,277.37,0,0
6/8/2018,276.85,278.25,276.66,278.19,0,0
6/11/2018,278.44,279.37,278.31,278.56,0,0
6/12/2018,279.03,279.33,278.19,278.92,0,0
6/13/2018,279.19,279.48,277.8,278.03,0,0
6/14/2018,279.01,279.33,278.0599,278.73,0,0
6/15/2018,276.6,277.51,275.35,277.13,0,0
6/18/2018,275.49,276.7,274.95,276.56,0,0
6/19/2018,274,275.75,273.53,275.5,0,0
6/20/2018,276.27,276.72,275.59,275.97,0,0
6/21/2018,275.96,275.98,273.68,274.24,0,0
6/22/2018,275.66,275.785,274.49,274.74,0,0
6/25/2018,273.44,273.6162,269.1,271,0,1
6/26/2018,271.64,272.56,270.79,271.6,0,0
6/27/2018,272.26,273.865,269.18,269.35,0,0
6/28/2018,269.29,271.75,268.49,270.89,0,0
6/29/2018,272.12,273.66,271.1495,271.28,0,0
7/2/2018,269.51,272.04,269.24,271.86,0,0
7/3/2018,272.87,272.98,270.42,270.9,0,0
7/5/2018,272.17,273.18,270.96,273.11,0,0
7/6/2018,273.14,275.84,272.715,275.42,0,0
7/9/2018,276.55,277.96,276.5,277.9,1,0
7/10/2018,278.41,279.01,278.08,278.9,0,0
7/11/2018,277.15,278.04,276.52,276.86,0,0
7/12/2018,278.28,279.43,277.6,279.37,0,0
7/13/2018,279.17,279.93,278.66,279.59,0,0
7/16/2018,279.64,279.803,278.84,279.34,0,0
7/17/2018,278.47,280.91,278.41,280.47,0,0
7/18/2018,280.56,281.18,280.06,281.06,0,0
7/19/2018,280.31,280.74,279.46,280,0,0
7/20/2018,279.77,280.48,279.5,279.68,0,0
7/23/2018,279.45,280.43,279.06,280.2,0,0
7/24/2018,281.79,282.56,280.63,281.61,0,0
7/25/2018,281.33,284.37,281.28,284.01,0,0
7/26/2018,283.2,284.11,283.09,283.34,0,0
7/27/2018,283.71,283.82,280.38,281.42,0,0
7/30/2018,281.51,281.69,279.36,279.95,0,0
7/31/2018,280.81,282.02,280.38,281.33,0,0
8/1/2018,281.56,282.13,280.1315,280.86,0,0
8/2/2018,279.39,282.58,279.16,282.39,0,0
8/3/2018,282.53,283.6577,282.33,283.6,0,0
8/6/2018,283.64,284.99,283.2015,284.64,0,0
